RegionID,FileName,LoopDepth,IterationSpace,BasicBlocks,IntArithmetic,FloatArithmetic,IntMultiply,FloatMultiply,IntDivision,FloatDivision,BitwiseCount,IntModulus,FloatModulus,SpecialFunctions,FMAOperations,Loads,Stores,BytesRead,BytesWritten,StrideClass,IndirectAccesses,ReductionVars,FunctionCalls,ArraysAccessed,BranchCount,SelectCount,SerialTime,OpenMP3Time,OpenMP45ResidentTime,OpenMP45ObservedTime,OpenMP45IsolatedTime,OpenACCResidentTime,OpenACCObservedTime,OpenACCIsolatedTime
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/financialRisk_serial_N_1.c,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/financialRisk_serial_N_1.c,2,1,1,3,0,2,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,2,0,2,,,,,,,,
2,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/financialRisk_serial_N_1.c,2,1,4,0,0,0,0,3,0,0,0,0,0,0,1,1,4,4,0,0,0,0,2,1,1,,,,,,,,
3,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/financialRisk_serial_N_1.c,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,2,0,2,,,,,,,,
4,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/financialRisk_serial_N_1.c,2,1,1,1,0,1,0,0,0,0,0,0,0,0,2,1,8,4,0,0,0,0,3,0,0,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/financialRisk_serial_N_2.c,2,4,5,1,0,2,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,1,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/financialRisk_serial_N_2.c,2,4,10,3,0,2,0,0,0,0,0,0,0,0,1,1,4,4,1,0,0,0,2,2,0,,,,,,,,
2,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/financialRisk_serial_N_2.c,2,4,10,0,0,0,0,3,0,0,0,0,0,0,1,1,4,4,1,0,0,0,2,2,0,,,,,,,,
3,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/financialRisk_serial_N_2.c,2,4,8,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,1,0,0,0,2,2,0,,,,,,,,
4,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/financialRisk_serial_N_2.c,2,4,5,1,0,1,0,0,0,0,0,0,0,0,2,1,8,4,1,0,0,0,3,0,0,,,,,,,,
