RegionID,FileName,LoopDepth,IterationSpace,BasicBlocks,IntArithmetic,FloatArithmetic,IntMultiply,FloatMultiply,IntDivision,FloatDivision,SpecialFunctions,FMAOperations,Loads,Stores,BytesRead,BytesWritten,StrideClass,IndirectAccesses,ReductionVars,FunctionCalls,ArraysAccessed,BranchCount,SerialTime,OpenMP3Time,OpenMP45ResidentTime,OpenMP45ObservedTime,OpenMP45IsolatedTime,OpenACCResidentTime,OpenACCObservedTime,OpenACCIsolatedTime
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_1.c,2,1,1,0,0,0,0,0,0,0,0,0,7,0,56,0,0,0,0,7,0,0.000004772,0.033837464,0.000765,0.000865,3.035398,0.000111,0.000212,3.167387
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_1.c,3,1,1,0,1,0,1,0,0,0,1,3,1,24,8,0,0,0,0,3,0,0.000000108,0.025989871,0.000015,0.000052,3.060865,0.000014,0.000054,3.140348
2,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_1.c,3,1,1,0,1,0,1,0,0,0,1,3,1,24,8,0,0,0,0,3,0,0.000000101,0.025920082,0.000012,0.000032,3.037550,0.000018,0.000040,3.068222
3,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_1.c,3,1,1,0,1,0,1,0,0,0,1,3,1,24,8,0,0,0,0,3,0,0.000000108,0.014030248,0.000012,0.000033,3.060986,0.000013,0.000034,3.020544
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_2.c,2,4,5,2,6,0,6,0,0,0,6,0,7,0,56,1,0,0,0,7,0,0.000009045,0.027192395,0.000776,0.000875,3.049641,0.000117,0.000211,3.218376
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_2.c,3,8,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000000186,0.025997434,0.000015,0.000047,3.054929,0.000015,0.000051,3.048536
2,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_2.c,3,8,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000000153,0.025950771,0.000011,0.000031,3.033154,0.000013,0.000042,3.190989
3,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_2.c,3,8,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000000145,0.025997303,0.000012,0.000032,2.980151,0.000013,0.000037,3.121541
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_3.c,2,9,5,2,6,0,6,0,0,0,6,0,7,0,56,1,0,0,0,7,0,0.000009440,0.034527674,0.000743,0.000846,2.915574,0.000128,0.000231,3.184833
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_3.c,3,27,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000000373,0.028977957,0.000015,0.000048,2.970263,0.000016,0.000063,3.045930
2,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_3.c,3,27,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000000328,0.018976629,0.000012,0.000033,3.059341,0.000013,0.000044,3.172150
3,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_3.c,3,27,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000000298,0.000017766,0.000011,0.000032,2.994222,0.000014,0.000041,3.227012
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_4.c,2,16,5,2,6,0,6,0,0,0,6,0,7,0,56,1,0,0,0,7,0,0.000009388,0.044445161,0.001277,0.001378,3.064956,0.000130,0.000223,3.112731
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_4.c,3,64,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000000603,0.025995463,0.000018,0.000052,3.061908,0.000014,0.000049,3.081869
2,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_4.c,3,64,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000000585,0.025946092,0.000013,0.000034,3.173186,0.000013,0.000040,3.218111
3,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_4.c,3,64,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000000760,0.025993332,0.000012,0.000032,2.944692,0.000012,0.000034,3.013415
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_5.c,2,25,5,2,6,0,6,0,0,0,6,0,7,0,56,1,0,0,0,7,0,0.000008550,0.023998640,0.000760,0.000862,3.215098,0.000118,0.000215,3.027279
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_5.c,3,125,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000000723,0.025997031,0.000015,0.000048,3.003450,0.000016,0.000051,3.207752
2,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_5.c,3,125,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000000704,0.025949933,0.000012,0.000033,3.125258,0.000015,0.000045,2.931364
3,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_5.c,3,125,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000000671,0.012029558,0.000012,0.000033,3.101583,0.000014,0.000037,3.207492
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_6.c,2,36,5,2,6,0,6,0,0,0,6,0,7,0,56,1,0,0,0,7,0,0.000009418,0.028210804,0.000799,0.000914,2.998612,0.000121,0.000216,2.975090
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_6.c,3,216,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000001177,0.025995512,0.000017,0.000053,3.054823,0.000016,0.000053,3.077612
2,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_6.c,3,216,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000000846,0.025911264,0.000013,0.000038,3.147503,0.000014,0.000045,3.168921
3,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_6.c,3,216,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000000853,0.025993057,0.000013,0.000036,3.085416,0.000014,0.000038,3.037758
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_7.c,2,49,5,2,6,0,6,0,0,0,6,0,7,0,56,1,0,0,0,7,0,0.000009555,0.037124120,0.000756,0.000860,2.953054,0.000127,0.000232,3.141211
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_7.c,3,343,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000001233,0.015993901,0.000016,0.000048,3.072674,0.000016,0.000057,3.046344
2,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_7.c,3,343,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000001281,0.025923651,0.000012,0.000034,3.029430,0.000015,0.000047,3.038447
3,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_7.c,3,343,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000000998,0.018011995,0.000012,0.000031,3.110095,0.000014,0.000041,3.102583
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_8.c,2,64,5,2,6,0,6,0,0,0,6,0,7,0,56,1,0,0,0,7,0,0.000008814,0.027022377,0.000752,0.000864,3.034915,0.000112,0.000207,2.991728
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_8.c,3,512,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000001535,0.019671731,0.000016,0.000048,2.970415,0.000016,0.000052,2.994264
2,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_8.c,3,512,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000001416,0.025277443,0.000013,0.000034,3.089974,0.000015,0.000051,3.078995
3,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_8.c,3,512,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000001445,0.025996134,0.000012,0.000032,3.083968,0.000013,0.000037,3.236986
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_9.c,2,81,5,2,6,0,6,0,0,0,6,0,7,0,56,1,0,0,0,7,0,0.000011813,0.025869988,0.000740,0.000846,3.057526,0.000115,0.000213,2.942034
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_9.c,3,729,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000002060,0.025999665,0.000017,0.000052,3.059602,0.000017,0.000053,3.094602
2,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_9.c,3,729,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000001986,0.025905803,0.000012,0.000035,3.021199,0.000015,0.000042,3.023175
3,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_9.c,3,729,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000001706,0.025988791,0.000013,0.000035,2.943441,0.000015,0.000039,3.033553
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_10.c,2,100,5,2,6,0,6,0,0,0,6,0,7,0,56,1,0,0,0,7,0,0.000010144,0.026747588,0.000737,0.000844,2.975743,0.000116,0.000213,3.123578
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_10.c,3,1000,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000002593,0.025976378,0.000017,0.000052,3.031435,0.000017,0.000053,3.104132
2,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_10.c,3,1000,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000002787,0.022953670,0.000013,0.000035,3.096552,0.000016,0.000046,3.113941
3,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_10.c,3,1000,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000002299,0.025994193,0.000013,0.000034,2.977799,0.000014,0.000038,3.158092
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_11.c,2,121,5,2,6,0,6,0,0,0,6,0,7,0,56,1,0,0,0,7,0,0.000010230,0.035917133,0.000744,0.000850,3.099369,0.000132,0.000233,3.178422
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_11.c,3,1331,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000003591,0.025996152,0.000017,0.000050,3.042245,0.000017,0.000056,3.052395
2,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_11.c,3,1331,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000003528,0.014947794,0.000014,0.000037,3.154978,0.000015,0.000045,3.179771
3,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_zlSAdo/feature_variants/3mm_serial_N_11.c,3,1331,7,3,1,0,1,0,0,0,1,3,1,24,8,2,0,0,0,3,0,0.000003144,0.000077054,0.000013,0.000035,2.991285,0.000015,0.000039,3.132381
